"","SHOP ID","SALES PERSON ID","ITEM NR","PRICE","QUANTITY","REVENUE","DATE"
"1","CHHF4589","HF-NP429","RFG-388-575",4.65,1,4.65,2016-09-28
"2","CHHF4589","HF-NP429","RBI-513-811",5.25,6,31.5,2016-10-30
"3","CHHF4589","HF-JP738","RBI-513-811",5.25,2,10.5,2016-04-24
"4","NYML7932","ML-NB362","LCS-461-035",7.45,4,29.8,2016-04-03
"5","CHHF4589","HF-NP429","OBD-573-022",11.79,10,117.9,2016-11-30
"6","AUWL7026","WL-WL903","RMG-199-201",5.65,2,11.3,2016-10-29
"7","CHHF4589","HF-JP738","RMG-199-201",5.65,17,96.05,2016-12-04
"8","SELL8603","LL-AH674","RFG-388-575",4.65,16,74.4,2016-10-26
"9","NYFL0152","FL-TS704","RBI-513-811",5.25,9,47.25,2016-09-27
"10","LAAU6602","AU-HG923","RSI-802-493",6.15,7,43.05,2016-09-25
"11","CHHF4589","HF-JP738","LCS-461-035",7.45,13,96.85,2016-06-22
"12","SFSW1840","SW-TH205","LCS-461-035",7.45,16,119.2,2016-03-25
"13","SELL8603","LL-RS639","LCS-461-035",7.45,13,96.85,2016-02-06
"14","CHHF4589","HF-NP429","LPM-704-265",6.99,10,69.9,2016-04-17
"15","SFSW1840","SW-TH205","RBI-513-811",5.25,3,15.75,2016-03-26
"16","CHHF4589","HF-NP429","OBD-573-022",11.79,11,129.69,2016-09-19
"17","NYML7932","ML-NB362","LTP-429-116",7.45,7,52.15,2016-03-29
"18","SELL8603","LL-RS639","LZD-622-073",8.89,17,151.13,2016-08-15
"19","NYML7932","ML-NB362","RMG-199-201",5.65,15,84.75,2016-12-14
"20","MIFK9547","FK-NF048","LPM-704-265",6.99,5,34.95,2016-12-22
"21","NYFL0152","FL-TL942","RSI-802-493",6.15,2,12.3,2016-03-27
"22","NYFL0152","FL-TL942","LCS-461-035",7.45,8,59.6,2016-10-15
"23","MIFK9547","FK-NF048","RFG-388-575",4.65,17,79.05,2016-10-27
"24","MIFK9547","FK-NF048","LZD-622-073",8.89,17,151.13,2016-08-21
"25","MIFK9547","FK-PB337","OMG-175-129",11.29,4,45.16,2016-01-13
"26","SELL8603","LL-AH674","RBI-513-811",5.25,11,57.75,2016-10-20
"27","SFSW1840","SW-RR501","RSI-802-493",6.15,7,43.05,2016-08-24
"28","CHHF4589","HF-NP429","LTP-429-116",7.45,15,111.75,2016-10-11
"29","NYML7932","ML-JM463","LCS-461-035",7.45,5,37.25,2016-07-05
"30","CHHF4589","HF-JP738","LCS-461-035",7.45,3,22.35,2016-07-22
"31","NYFL0152","FL-TS704","LTP-429-116",7.45,17,126.65,2016-01-29
"32","NYFL0152","FL-SS827","RBI-513-811",5.25,9,47.25,2016-05-12
"33","MIFK9547","FK-PB337","LZD-622-073",8.89,3,26.67,2016-12-22
"34","SELL8603","LL-AJ284","LCS-461-035",7.45,1,7.45,2016-09-14
"35","AUWL7026","WL-DT369","RFG-388-575",4.65,12,55.8,2016-05-31
"36","SFSW1840","SW-TH205","ORT-307-942",10.49,10,104.9,2016-12-03
"37","NYML7932","ML-JM463","RSI-802-493",6.15,11,67.65,2016-12-01
"38","CHHF4589","HF-NP429","RFG-388-575",4.65,9,41.85,2016-04-10
"39","MIAL3314","AL-PT831","ODD-114-017",9.99,15,149.85,2016-01-30
"40","SFSW1840","SW-TH205","RBI-513-811",5.25,9,47.25,2016-12-23
"41","CHHF4589","HF-NP429","OBD-573-022",11.79,4,47.16,2016-07-23
"42","LAAU6602","AU-HG923","RSI-802-493",6.15,10,61.5,2016-08-18
"43","SFSW1840","SW-TH205","LZD-622-073",8.89,15,133.35,2016-08-19
"44","CHHF4589","HF-NP429","LCS-461-035",7.45,10,74.5,2016-07-04
"45","CHHF4589","HF-NP429","RBI-513-811",5.25,NA,NA,2016-01-23
"46","CHHF4589","HF-NP429","LPM-704-265",6.99,3,20.97,2016-01-04
"47","CHHF4589","HF-NP429","LTP-429-116",7.45,6,44.7,2016-11-26
"48","NYFL0152","FL-SS827","RSI-802-493",6.15,2,12.3,2016-08-29
"49","LAAU6602","AU-HJ434","ORT-307-942",10.49,11,115.39,2016-12-09
"50","NYFL0152","FL-SS827","LCS-461-035",7.45,2,14.9,2016-05-23
"51","SELL8603","LL-AJ284","RSI-802-493",6.15,11,67.65,2016-01-13
"52","SFSW1840","SW-RR501","RMG-199-201",5.65,6,33.9,2016-02-12
"53","SFSW1840","SW-RR501","OMG-175-129",11.29,16,180.64,2016-01-27
"54","SFSW1840","SW-RR501","RMG-199-201",5.65,NA,NA,2016-03-23
"55","LAAU6602","AU-BT861","RMG-199-201",5.65,8,45.2,2016-08-27
"56","CHHF4589","HF-NP429","RSI-802-493",6.15,11,67.65,2016-09-25
"57","NYML7932","ML-NB362","LTP-429-116",7.45,9,67.05,2016-10-25
"58","CHHF4589","HF-JP738","LTP-429-116",7.45,11,81.95,2016-04-29
"59","CHHF4589","HF-NP429","RSI-802-493",6.15,14,86.1,2016-09-07
"60","LAAU6602","AU-HG923","LCS-461-035",7.45,9,67.05,2016-09-25
"61","LAAU6602","AU-BT861","LTP-429-116",7.45,17,126.65,2016-01-17
"62","SFSW1840","SW-TH205","LCS-461-035",7.45,16,119.2,2016-02-09
"63","CHHF4589","HF-NP429","RFG-388-575",4.65,2,9.3,2016-03-29
"64","MIFK9547","FK-PB337","RBI-513-811",5.25,16,84,2016-09-27
"65","NYFL0152","FL-TL942","RBI-513-811",5.25,17,89.25,2016-06-11
"66","SFSW1840","SW-RR501","LPM-704-265",6.99,13,90.87,2016-09-22
"67","SELL8603","LL-PS563","RMG-199-201",5.65,11,62.15,2016-04-20
"68","NYML7932","ML-JM463","RSI-802-493",6.15,4,24.6,2016-12-16
"69","SFSW1840","SW-RR501","RFG-388-575",4.65,2,9.3,2016-07-25
"70","CHHF4589","HF-NP429","LCS-461-035",7.45,10,74.5,2016-05-12
"71","MIAL3314","AL-PT831","RFG-388-575",4.65,2,9.3,2016-05-13
"72","CHHF4589","HF-NP429","RMG-199-201",5.65,12,67.8,2016-06-03
"73","NYFL0152","FL-SS827","RMG-199-201",5.65,5,28.25,2016-02-15
"74","AUWL7026","WL-WL903","ORT-307-942",10.49,7,73.43,2016-03-01
"75","SELL8603","LL-AJ284","ORT-307-942",10.49,4,41.96,2016-10-28
"76","AUWL7026","WL-DT369","LZD-622-073",8.89,17,151.13,2016-01-19
"77","CHHF4589","HF-NP429","LCS-461-035",7.45,1,7.45,2016-04-30
"78","AUWL7026","WL-DT369","RFG-388-575",4.65,9,41.85,2016-10-15
"79","LAAU6602","AU-BT861","LZD-622-073",8.89,9,80.01,2016-04-11
